"","SamplerNo","Location.x","SamplerType","ExtractionGroup","qPCR_Plate","JDay","Date","SampleID","SsCtMean","SsCtSD","SsMean","logSsMean","Censored","SsSD","SsScaled","SsClean","logSsClean","VolumeSampled","sporesPCM","logSPCM","TtCt","TtSD","Water.","logSsMean_t1","Location.y","Year","MeanWetness","DiffMeanWet","MeanWet_1d","MaxWetness","DiffMaxWet","MaxWet_1d","MinWetness","DiffMinWet","MinWet_1d","MeanTemp","DiffMeanT","MeanT_1d","MaxTemp","DiffMaxT","MaxT_1d","MinTemp","DiffMinT","MinT_1d","MeanRH","DiffMeanRH","MeanRH_1d","MaxRH","DiffMaxRH","MaxRH_1d","MinRH","DiffMinRH","MinRH_1d","DiffRH_0d","DiffRH_1d","DiffRH_2d","MaxDiffRH_2h","MaxDiffRH_3h","MeanVPD","DiffMeanVPD","MeanVPD_1d","MaxVPD","DiffMaxVPD","MaxVPD_1d","MinVPD","DiffMinVPD","TotalPrecip","Precip_1d","RainYN","MaxRain","MinRain","MeanWC","DiffMeanWC","MeanWC_1d","MaxWC","DiffMaxWC","MaxWC_1d","MinWC","DiffMinWC","MinWC_1d","MeanDP","DiffMeanDP","MeanDP_1d","MaxDP","DiffMaxDP","MaxDP_1d","MinDP","DiffMinDP","MinDP_1d","MeanSoilTemp","DiffMeanSoilT","MeanSoilT_1d","MaxSoilTemp","DiffMaxSoilT","MaxSoilT_1d","MinSoilTemp","DiffMinSoilT","MinSoilT_1d"
"11","01","1917","Burkard",NA,"Plate 10",199,2019-07-18,"T01-199",530,0,0,0,TRUE,0,NA,0,0,24,0,0,35.65,0.83,"No",2.570379465,"1917",2019,0,-0.02083,0.02083,0,-0.1,0.1,0,0,0,16.82083,-0.59167,17.4125,24,-2.1,26.1,7.1,-1.5,8.6,52.18333,-13.7,65.88333,74.9,-17.5,92.4,26.5,-17.1,43.6,48.4,48.8,41.5,13.1,25.2,7.54363,1.58392,5.95971,15.26579,1.94534,13.32045,1.82563,1.07511,8.5,0,1,8.3,0,0.141,-0.01946,0.16046,0.156,-0.014,0.17,0.132,-0.017,0.149,5.94167,-4.33333,10.275,10.6,-3.9,14.5,2.9,-3.8,6.7,18.55833,-0.72917,19.2875,24.2,-3.4,27.6,13.9,0.5,13.4
"12","01","1917","Burkard",NA,"Plate 10",200,2019-07-19,"T01-200",112,0.05,496.1,2.696443763,FALSE,15.54,NA,496.1,2.7,24,20.67,1.34,21.87,0.06,"No",0,"1917",2019,1.10417,1.10417,0,14.9,14.9,0,0,0,0,13.53333,-3.2875,16.82083,23.4,-0.6,24,2.9,-4.2,7.1,59.62083,7.4375,52.18333,81.1,6.2,74.9,30.2,3.7,26.5,50.9,48.4,48.8,18.9,26.8,5.73021,-1.81342,7.54363,13.63858,-1.62721,15.26579,1.16778,-0.65785,20.4,8.5,1,13.9,0,0.21313,0.07213,0.141,0.313,0.157,0.156,0.116,-0.016,0.132,4.82083,-1.12083,5.94167,9.3,-1.3,10.6,-0.4,-3.3,2.9,15.78333,-2.775,18.55833,21,-3.2,24.2,10.7,-3.2,13.9
"13","01","1917","Burkard",NA,"Plate 10",201,2019-07-20,"T01-201",487,0.53,5.59,0.818885415,TRUE,2.11,NA,0,0,24,0,0,21.73,0.16,"No",2.696443763,"1917",2019,11.77917,10.675,1.10417,14.2,-0.7,14.9,0,0,0,13.6375,0.10417,13.53333,19.6,-3.8,23.4,9.5,6.6,2.9,83.32917,23.70833,59.62083,92.4,11.3,81.1,69.4,39.2,30.2,23,50.9,48.4,14.1,16.2,1.98244,-3.74777,5.73021,4.79561,-8.84297,13.63858,0.76883,-0.39895,22,20.4,1,6.8,0,0.28817,0.07504,0.21313,0.384,0.071,0.313,0.244,0.128,0.116,10.77917,5.95833,4.82083,14,4.7,9.3,7.7,8.1,-0.4,15.625,-0.15833,15.78333,19.4,-1.6,21,13.5,2.8,10.7
"14","01","1917","Burkard",NA,"Plate 10",202,2019-07-21,"T01-202",250,0.25,136.99,2.139847615,FALSE,21.59,NA,136.99,2.14,24,5.71,0.83,21.74,0.09,"No",0.818885415,"1917",2019,4.84167,-6.9375,11.77917,13.1,-1.1,14.2,0,0,0,16.40833,2.77083,13.6375,26.2,6.6,19.6,6.6,-2.9,9.5,74.575,-8.75417,83.32917,94.5,2.1,92.4,45.8,-23.6,69.4,48.7,23,50.9,10.9,18.7,4.53498,2.55254,1.98244,11.67759,6.88199,4.79561,0.48847,-0.28036,0.2,22,1,0.2,0,0.31067,0.0225,0.28817,0.361,-0.023,0.384,0.275,0.031,0.244,11.35833,0.57917,10.77917,16.8,2.8,14,5.4,-2.3,7.7,16.45833,0.83333,15.625,22.5,3.1,19.4,11.1,-2.4,13.5
"15","01","1917","Burkard",NA,"Plate 10",203,2019-07-22,"T01-203",187,0.12,247.21,2.394819275,FALSE,20.03,NA,247.21,2.39,24,10.3,1.05,25.63,0.13,"No",2.139847615,"1917",2019,0,-4.84167,4.84167,0,-13.1,13.1,0,0,0,20.53333,4.125,16.40833,30.7,4.5,26.2,12,5.4,6.6,68.98333,-5.59167,74.575,83.1,-11.4,94.5,49.2,3.4,45.8,33.9,48.7,23,10.3,17.2,6.33352,1.79854,4.53498,15.52394,3.84635,11.67759,1.68989,1.20142,0,0.2,0,0,0,0.26515,-0.04551,0.31067,0.271,-0.09,0.361,0.253,-0.022,0.275,14.35833,3,11.35833,21.3,4.5,16.8,9.1,3.7,5.4,15.29231,-1.16603,16.45833,21.8,-0.7,22.5,13.1,2,11.1
"16","01","1917","Burkard",NA,"Plate 10",204,2019-07-23,"T01-204",438,0.33,15.63,1.220892249,TRUE,3.3,NA,0,0,24,0,0,26.44,0.1,"No",2.394819275,"1917",2019,0.4875,0.4875,0,10.9,10.9,0,0,0,0,24.37083,3.8375,20.53333,33.3,2.6,30.7,15.7,3.7,12,65.4875,-3.49583,68.98333,75.4,-7.7,83.1,42.3,-6.9,49.2,33.1,33.9,48.7,22.6,28.9,8.37348,2.03996,6.33352,16.34354,0.8196,15.52394,3.20295,1.51306,0,0,0,0,0,NA,NA,0.26515,NA,NA,0.271,NA,NA,0.253,17.3125,2.95417,14.35833,23.9,2.6,21.3,11.1,2,9.1,NA,NA,15.29231,NA,NA,21.8,NA,NA,13.1
"17","01","1917","Burkard",NA,"Plate 10",205,2019-07-24,"T01-205",71,0.09,859.02,2.934508551,FALSE,48.91,NA,859.02,2.93,24,35.79,1.57,25.42,0.11,"No",1.220892249,"1917",2019,4.44167,3.95417,0.4875,14,3.1,10.9,0,0,0,21.12917,-3.24167,24.37083,27.1,-6.2,33.3,15.1,-0.6,15.7,60.16667,-5.32083,65.4875,86.5,11.1,75.4,32,-10.3,42.3,54.5,33.1,33.9,17.1,31.7,7.42345,-0.95003,8.37348,15.41089,-0.93265,16.34354,1.85582,-1.34713,2.1,0,1,1.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.275,-5.0375,17.3125,18.9,-5,23.9,4.9,-6.2,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","01","1917","Burkard",NA,"Plate 10",206,2019-07-25,"T01-206",96,0.15,587.7,2.769894036,FALSE,59.09,NA,587.7,2.77,24,24.49,1.41,25.58,0.08,"No",2.934508551,"1917",2019,0,-4.44167,4.44167,0,-14,14,0,0,0,19.4375,-1.69167,21.12917,28.2,1.1,27.1,8.8,-6.3,15.1,48.62083,-11.54583,60.16667,71.4,-15.1,86.5,29.4,-2.6,32,42,54.5,33.1,15.4,22.8,9.34337,1.91991,7.42345,18.57345,3.16256,15.41089,2.31304,0.45721,0,2.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.77083,-4.50417,12.275,12.7,-6.2,18.9,3.6,-1.3,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","01","1917","Burkard",NA,"Plate 10",207,2019-07-26,"T01-207",87,0.03,686.5,2.837272703,FALSE,14.69,NA,686.5,2.84,24,28.6,1.47,24.11,0.05,"No",2.769894036,"1917",2019,1.49167,1.49167,0,14.7,14.7,0,0,0,0,19.32917,-0.10833,19.4375,30.9,2.7,28.2,7.8,-1,8.8,68.01667,19.39583,48.62083,89.1,17.7,71.4,41.9,12.5,29.4,47.2,42,54.5,14,15.8,6.88424,-2.45913,9.34337,18.34247,-0.23098,18.57345,0.98635,-1.32669,14.9,0,1,13.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,4.92917,7.77083,19.8,7.1,12.7,5.6,2,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","01","1917","Burkard",NA,"Plate 10",208,2019-07-27,"T01-208",101,0.7,589.7,2.771366971,FALSE,232.46,NA,589.7,2.77,24,24.57,1.41,26.09,0.01,"No",2.837272703,"1917",2019,0,-1.49167,1.49167,0,-14.7,14.7,0,0,0,20,0.67083,19.32917,30.2,-0.7,30.9,11.1,3.3,7.8,59.5875,-8.42917,68.01667,83.2,-5.9,89.1,34.6,-7.3,41.9,48.6,47.2,42,16.6,24.8,8.64234,1.7581,6.88424,18.97291,0.63044,18.34247,1.56843,0.58208,0,14.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.975,-1.725,12.7,15.6,-4.2,19.8,7.4,1.8,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","01","1917","Burkard",NA,"Plate 10",209,2019-07-28,"T01-209",88,0.07,685.6,2.836703799,FALSE,29.38,NA,685.6,2.84,24,28.57,1.47,25.46,0.05,"No",2.771366971,"1917",2019,0.00417,0.00417,0,0.1,0.1,0,0,0,0,16.67917,-3.32083,20,25,-5.2,30.2,7.4,-3.7,11.1,66.85833,7.27083,59.5875,88.3,5.1,83.2,46,11.4,34.6,42.3,48.6,47.2,17.3,31.3,5.45689,-3.18545,8.64234,12.00328,-6.96962,18.97291,1.00091,-0.56752,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.95417,-1.02083,10.975,13.9,-1.7,15.6,5,-2.4,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","01","1917","Burkard",NA,"Plate 10",210,2019-07-29,"T01-210",67,0.09,887.42,2.948618327,FALSE,53.11,NA,887.42,2.95,24,36.98,1.58,23.87,0.05,"No",2.836703799,"1917",2019,0,-0.00417,0.00417,0,-0.1,0.1,0,0,0,20.20833,3.52917,16.67917,32.8,7.8,25,9.7,2.3,7.4,58.75,-8.10833,66.85833,82.9,-5.4,88.3,29.9,-16.1,46,53,42.3,48.6,12.7,24.9,9.66836,4.21147,5.45689,25.245,13.24172,12.00328,1.53776,0.53685,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.67083,0.71667,9.95417,15.3,1.4,13.9,6.5,1.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","01","1917","Burkard",NA,"Plate 10",211,2019-07-30,"T01-211",99,0.09,566.8,2.754195388,FALSE,33.39,NA,566.8,2.75,24,23.62,1.39,23.95,0.04,"No",2.948618327,"1917",2019,0,0,0,0,0,0,0,0,0,20.42083,0.2125,20.20833,32.5,-0.3,32.8,9.5,-0.2,9.7,61.125,2.375,58.75,84,1.1,82.9,33.4,3.5,29.9,50.6,53,42.3,21.8,32.2,8.83313,-0.83523,9.66836,23.64084,-1.60416,25.245,1.44785,-0.08991,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.85417,1.18333,10.67083,17,1.7,15.3,6,-0.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","01","1917","Burkard",NA,"Plate 10",212,2019-07-31,"T01-212",136,0.13,398.61,2.601636348,FALSE,34.55,NA,398.61,2.6,24,16.61,1.25,24.06,0.18,"No",2.754195388,"1917",2019,1.1125,1.1125,0,8.9,8.9,0,0,0,0,19.93333,-0.4875,20.42083,32.2,-0.3,32.5,10,0.5,9.5,65.8125,4.6875,61.125,92.6,8.6,84,36.6,3.2,33.4,56,50.6,53,10.4,19.7,7.7633,-1.06983,8.83313,22.0875,-1.55334,23.64084,0.88676,-0.56109,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.47917,0.625,11.85417,17.4,0.4,17,6.8,0.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","01","1917","Burkard",NA,"Plate 10",213,2019-08-01,"T01-213",85,0.08,696.35,2.843450805,FALSE,35.37,NA,696.35,2.84,24,29.01,1.48,23.94,0.17,"No",2.601636348,"1917",2019,1.22083,0.10833,1.1125,14.8,5.9,8.9,0,0,0,22.3875,2.45417,19.93333,33,0.8,32.2,13.1,3.1,10,58.48333,-7.32917,65.8125,84.7,-7.9,92.6,37,0.4,36.6,47.7,56,50.6,24,26.1,9.71418,1.95088,7.7633,23.07179,0.98429,22.0875,1.84491,0.95815,20.5,0,1,20.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.26667,0.7875,12.47917,19.1,1.7,17.4,7.1,0.3,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","01","1917","Burkard",NA,"Plate 10",214,2019-08-02,"T01-214",171,0.1,291.24,2.465739659,FALSE,18.14,NA,291.24,2.47,24,12.13,1.12,24.32,0.06,"No",2.843450805,"1917",2019,5.1,3.87917,1.22083,14.5,-0.3,14.8,0,0,0,22.3375,-0.05,22.3875,34.1,1.1,33,11.2,-1.9,13.1,61.02083,2.5375,58.48333,87.9,3.2,84.7,36,-1,37,51.9,47.7,56,24.6,25.2,9.79499,0.08082,9.71418,22.39709,-0.6747,23.07179,1.2959,-0.54901,0,20.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.48333,0.21667,13.26667,19.7,0.6,19.1,8.7,1.6,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","01","1917","Burkard",NA,"Plate 10",215,2019-08-03,"T01-215",187,0.15,248.63,2.397296777,FALSE,23.81,NA,248.63,2.4,24,10.36,1.06,23.94,0.07,"No",2.465739659,"1917",2019,0.62083,-4.47917,5.1,14.9,0.4,14.5,0,0,0,20.71667,-1.62083,22.3375,28.3,-5.8,34.1,13.1,1.9,11.2,62.80417,1.78333,61.02083,78.7,-9.2,87.9,33.6,-2.4,36,45.1,51.9,47.7,23.7,30.6,7.35868,-2.43632,9.79499,17.68792,-4.70917,22.39709,2.36825,1.07235,5.5,0,1,5.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8625,-0.62083,13.48333,17.2,-2.5,19.7,9.1,0.4,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","01","1917","Burkard",NA,"Plate 10",216,2019-08-04,"T01-216",117,0.1,474.34,2.677004362,FALSE,31.93,NA,474.34,2.68,24,19.76,1.32,23.94,0.05,"No",2.397296777,"1917",2019,4.175,3.55417,0.62083,14.4,-0.5,14.9,0,0,0,18.825,-1.89167,20.71667,27.7,-0.6,28.3,11.5,-1.6,13.1,64.6875,1.88333,62.80417,84.3,5.6,78.7,43,9.4,33.6,41.3,45.1,51.9,19.7,29.2,6.58991,-0.76877,7.35868,14.89033,-2.79759,17.68792,1.50279,-0.86546,14.7,5.5,1,14.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.44583,-1.41667,12.8625,14.3,-2.9,17.2,8.4,-0.7,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","01","1917","Burkard",NA,"Plate 10",217,2019-08-05,"T01-217",413,0.19,22.44,1.369957607,TRUE,2.74,NA,0,0,24,0,0,23.94,0.07,"No",2.677004362,"1917",2019,0,-4.175,4.175,0,-14.4,14.4,0,0,0,19.2375,0.4125,18.825,31.5,3.8,27.7,7.8,-3.7,11.5,64.78333,0.09583,64.6875,88.3,4,84.3,36.4,-6.6,43,51.9,41.3,45.1,12,21.7,7.82172,1.23181,6.58991,20.07617,5.18584,14.89033,0.97623,-0.52655,0,14.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.62083,0.175,11.44583,17.6,3.3,14.3,5.7,-2.7,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","01","1917","Burkard",NA,"Plate 10",218,2019-08-06,"T01-218",70,0.09,864.36,2.937196817,FALSE,52.56,NA,864.36,2.94,24,36.01,1.57,23.65,0.15,"No",1.369957607,"1917",2019,1.35,1.35,0,12.5,12.5,0,0,0,0,18.21667,-1.02083,19.2375,26.8,-4.7,31.5,10.5,2.7,7.8,72.01667,7.23333,64.78333,87.7,-0.6,88.3,51.6,15.2,36.4,36.1,51.9,41.3,14.4,24,5.09806,-2.72367,7.82172,11.98784,-8.08832,20.07617,1.17734,0.20111,0.7,0,1,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.72917,1.10833,11.62083,17.2,-0.4,17.6,7.9,2.2,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","01","1917","Burkard",NA,"Plate 10",219,2019-08-07,"T01-219",273,0.09,110.07,2.045596772,FALSE,6.45,NA,110.07,2.05,24,4.59,0.75,25.61,0.08,"No",2.937196817,"1917",2019,6.3375,4.9875,1.35,14.5,2,12.5,0,0,0,18.42083,0.20417,18.21667,27.2,0.4,26.8,11.3,0.8,10.5,76.6125,4.59583,72.01667,92.2,4.5,87.7,53,1.4,51.6,39.2,36.1,51.9,8.8,14.6,4.42795,-0.67011,5.09806,11.91031,-0.07753,11.98784,0.80971,-0.36764,4.7,0.7,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89167,1.1625,12.72917,18.2,1,17.2,9.8,1.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","01","1917","Burkard",NA,"Plate 10",220,2019-08-08,"T01-220",211,0.16,200.8,2.304921162,FALSE,19.97,NA,200.8,2.3,24,8.37,0.97,23.85,0.15,"No",2.045596772,"1917",2019,0,-6.3375,6.3375,0,-14.5,14.5,0,0,0,21.58333,3.1625,18.42083,33.8,6.6,27.2,11,-0.3,11.3,64.25833,-12.35417,76.6125,89.5,-2.7,92.2,37.8,-15.2,53,51.7,39.2,36.1,20.1,30.2,8.53722,4.10927,4.42795,23.94499,12.03468,11.91031,1.03045,0.22075,0,4.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.81667,-0.075,13.89167,18.8,0.6,18.2,8.7,-1.1,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
