FieldID,Date,Year,Province,SamplerNo,SamplerType,ExtractionGroup,qPCR_Plate,JDay,SampleID,SsCtMean,SsCtSD,SsMean,logSsMean,VolumeSampled,TtCt,TtSD,Water?,logSs_t1,MeanWetness,DiffMeanWet,MeanWet_1d,MaxWetness,DiffMaxWet,MaxWet_1d,MinWetness,DiffMinWet,MinWet_1d,MeanTemp,DiffMeanT,MeanT_1d,MaxTemp,DiffMaxT,MaxT_1d,MinTemp,DiffMinT,MinT_1d,MeanRH,DiffMeanRH,MeanRH_1d,MaxRH,DiffMaxRH,MaxRH_1d,MinRH,DiffMinRH,MinRH_1d,DiffRH_0d,DiffRH_1d,DiffRH_2d,MaxDiffRH_2h,MaxDiffRH_3h,MeanVPD,DiffMeanVPD,MeanVPD_1d,MaxVPD,DiffMaxVPD,MaxVPD_1d,MinVPD,DiffMinVPD,MinVPD_1d,TotalPrecip,Precip_1d,RainYN,MaxRain,MinRain,MeanWC,DiffMeanWC,MeanWC_1d,MaxWC,DiffMaxWC,MaxWC_1d,MinWC,DiffMinWC,MinWC_1d,MeanDP,DiffMeanDP,MeanDP_1d,MaxDP,DiffMaxDP,MaxDP_1d,MinDP,DiffMinDP,MinDP_1d,MeanSoilTemp,DiffMeanSoilT,MeanSoilT_1d,MaxSoilTemp,DiffMaxSoilT,MaxSoilT_1d,MinSoilTemp,DiffMinSoilT,MinSoilT_1d
1904,2019-07-15,2019,Alberta,08,Burkard,NA,Plate 13,196,T08-196,31.03,0.18,295.78,2.47243463,24,24.01,0.07,No,2.189574526,0,0,0,0,0,0,0,0,0,19.42083,-1.30417,20.725,28.4,-1.5,29.9,10.4,-2.5,12.9,63.45,-5.55,69,84.8,-12.8,97.6,38.4,5.6,32.8,46.4,64.8,51.3,9.4,16.4,7.08339,0.25121,6.83218,16.26982,-3.89034,20.16016,1.3584,1.1077,0.2507,0,0,0,0,0,0.11288,-0.03713,0.15,0.126,-0.036,0.162,0.099,-0.027,0.126,11.64583,-2.24167,13.8875,14.8,-4.9,19.7,8,-1.9,9.9,19.17083,-0.12917,19.3,28.3,2.2,26.1,13,-2.4,15.4
1904,2019-07-16,2019,Alberta,08,Burkard,NA,Plate 13,197,T08-197,33.53,0.08,60.94,1.791971201,24,21.2,0.03,No,2.47243463,0.3,0.3,0,4.8,4.8,0,0,0,0,19.49167,0.07083,19.42083,24.3,-4.1,28.4,13.8,3.4,10.4,65.5375,2.0875,63.45,88.7,3.9,84.8,52,13.6,38.4,36.7,46.4,64.8,14.7,23.5,5.88952,-1.19387,7.08339,10.04327,-6.22654,16.26982,1.28816,-0.07024,1.3584,0,0,0,0,0,0.08738,-0.0255,0.11288,0.096,-0.03,0.126,0.074,-0.025,0.099,12.60833,0.9625,11.64583,15.5,0.7,14.8,10.2,2.2,8,20.61667,1.44583,19.17083,29.4,1.1,28.3,17,4,13
1904,2019-07-17,2019,Alberta,08,Burkard,NA,Plate 13,198,T08-198,34.49,1.18,39.79,1.610553705,24,21.3,0.14,No,1.791971201,0,-0.3,0.3,0,-4.8,4.8,0,0,0,18.3625,-1.12917,19.49167,27.8,3.5,24.3,8.8,-5,13.8,61.90417,-3.63333,65.5375,95.4,6.7,88.7,35.6,-16.4,52,59.8,36.7,46.4,16.4,29.2,7.28637,1.39686,5.88952,17.04842,7.00515,10.04327,0.4716,-0.81656,1.28816,0.7,0,1,0.7,0,0.06929,-0.01808,0.08738,0.074,-0.022,0.096,0.062,-0.012,0.074,9.78333,-2.825,12.60833,13.8,-1.7,15.5,7.5,-2.7,10.2,19.225,-1.39167,20.61667,25.2,-4.2,29.4,13.4,-3.6,17
1904,2019-07-18,2019,Alberta,08,Burkard,NA,Plate 13,199,T08-199,40.00,0,0,0,24,28.97,0.12,Yes,1.610553705,1.75,1.75,0,14.9,14.9,0,0,0,0,16.56667,-1.79583,18.3625,22.2,-5.6,27.8,7.9,-0.9,8.8,56.59583,-5.30833,61.90417,84,-11.4,95.4,36.7,1.1,35.6,47.3,59.8,36.7,26.6,29.8,6.24233,-1.04404,7.28637,11.5906,-5.45783,17.04842,1.22333,0.75173,0.4716,30.8,0.7,1,13.7,0,0.16467,0.09538,0.06929,0.343,0.269,0.074,0.058,-0.004,0.062,7.44583,-2.3375,9.78333,12.3,-1.5,13.8,5.4,-2.1,7.5,16.07083,-3.15417,19.225,20.2,-5,25.2,12.6,-0.8,13.4
1904,2019-07-19,2019,Alberta,08,Burkard,NA,Plate 13,200,T08-200,37.59,0.4,4.81,0.764176132,24,21.12,0.07,No,0,1.2,-0.55,1.75,14.4,-0.5,14.9,0,0,0,13.80833,-2.75833,16.56667,21.8,-0.4,22.2,5.2,-2.7,7.9,59.7875,3.19167,56.59583,84.8,0.8,84,35.4,-1.3,36.7,49.4,47.3,59.8,14.1,22.4,5.46467,-0.77766,6.24233,11.2202,-0.37039,11.5906,1.08505,-0.13827,1.22333,0.4,30.8,1,0.2,0,0.18317,0.0185,0.16467,0.231,-0.112,0.343,0.142,0.084,0.058,5.35,-2.09583,7.44583,9.6,-2.7,12.3,1.2,-4.2,5.4,13.35417,-2.71667,16.07083,18,-2.2,20.2,8.5,-4.1,12.6
1904,2019-07-20,2019,Alberta,08,Burkard,NA,Plate 13,201,T08-201,39.53,0,0,0,24,21.22,0.02,No,0.764176132,10.89583,9.69583,1.2,14.6,0.2,14.4,0,0,0,13.06667,-0.74167,13.80833,19.1,-2.7,21.8,9.8,4.6,5.2,91.175,31.3875,59.7875,99.1,14.3,84.8,77.8,42.4,35.4,21.3,49.4,47.3,10.3,17.9,1.00657,-4.4581,5.46467,3.18391,-8.03629,11.2202,0.09112,-0.99393,1.08505,45.7,0.4,1,13.4,0,0.26879,0.08563,0.18317,0.414,0.183,0.231,0.142,0,0.142,11.59167,6.24167,5.35,15.4,5.8,9.6,8.1,6.9,1.2,13.825,0.47083,13.35417,17.3,-0.7,18,11.8,3.3,8.5
1904,2019-07-21,2019,Alberta,08,Burkard,NA,Plate 13,202,T08-202,37.65,1.16,5.24,0.79518459,24,21.16,0.15,No,0,4.98333,-5.9125,10.89583,13.9,-0.7,14.6,0,0,0,16.37917,3.3125,13.06667,25,5.9,19.1,7.8,-2,9.8,78.02083,-13.15417,91.175,99.6,0.5,99.1,49.3,-28.5,77.8,50.3,21.3,49.4,12.4,20.1,4.04108,3.0345,1.00657,10.91043,7.72652,3.18391,0.03195,-0.05918,0.09112,0.2,45.7,1,0.2,0,0.24988,-0.01892,0.26879,0.313,-0.101,0.414,0.214,0.072,0.142,11.975,0.38333,11.59167,16.6,1.2,15.4,7.4,-0.7,8.1,15.26667,1.44167,13.825,21.9,4.6,17.3,10.3,-1.5,11.8
1904,2019-07-22,2019,Alberta,08,Burkard,NA,Plate 13,203,T08-203,36.24,0.2,11.04,1.080626487,24,21.24,0.01,No,0.79518459,0,-4.98333,4.98333,0,-13.9,13.9,0,0,0,19.80417,3.425,16.37917,30.9,5.9,25,8.3,0.5,7.8,74.75417,-3.26667,78.02083,93.2,-6.4,99.6,54.1,4.8,49.3,39.1,50.3,21.3,9.8,18.2,5.32122,1.28014,4.04108,14.74465,3.83422,10.91043,0.68849,0.65655,0.03195,0,0.2,0,0,0,0.19429,-0.05558,0.24988,0.214,-0.099,0.313,0.174,-0.04,0.214,14.90417,2.92917,11.975,21.5,4.9,16.6,6.4,-1,7.4,17.81667,2.55,15.26667,24.6,2.7,21.9,11.9,1.6,10.3
1904,2019-07-23,2019,Alberta,08,Burkard,NA,Plate 13,204,T08-204,37.96,0.34,3.79,0.680335513,24,24.99,0.02,No,1.080626487,0.20417,0.20417,0,4.9,4.9,0,0,0,0,23.39167,3.5875,19.80417,34.6,3.7,30.9,12.5,4.2,8.3,74.03333,-0.72083,74.75417,96.2,3,93.2,43.9,-10.2,54.1,52.3,39.1,50.3,19,28.1,7.26198,1.94076,5.32122,18.3723,3.62765,14.74465,0.40698,-0.28152,0.68849,0,0,0,0,0,0.1565,-0.03779,0.19429,0.174,-0.04,0.214,0.129,-0.045,0.174,17.9125,3.00833,14.90417,24.9,3.4,21.5,11.4,5,6.4,20.34583,2.52917,17.81667,27,2.4,24.6,15.6,3.7,11.9
1904,2019-07-24,2019,Alberta,08,Burkard,NA,Plate 13,205,T08-205,35.47,0.41,18.25,1.284430734,24,33.82,0.53,No,0.680335513,1.12917,0.925,0.20417,9.6,4.7,4.9,0,0,0,21.725,-1.66667,23.39167,26,-8.6,34.6,16.7,4.2,12.5,55.40417,-18.62917,74.03333,85.4,-10.8,96.2,30.9,-13,43.9,54.5,52.3,39.1,16.7,27.9,8.55767,1.29568,7.26198,15.17583,-3.19647,18.3723,2.13629,1.72931,0.40698,33.6,0,1,13.7,0,0.10517,-0.05133,0.1565,0.129,-0.045,0.174,0.076,-0.053,0.129,11.53333,-6.37917,17.9125,16.1,-8.8,24.9,5.8,-5.6,11.4,19.22917,-1.11667,20.34583,20.8,-6.2,27,16.6,1,15.6
1904,2019-07-25,2019,Alberta,08,Burkard,NA,Plate 13,206,T08-206,30.90,0.24,322.09,2.509323516,24,25.27,0.02,No,1.284430734,1.15417,0.025,1.12917,14.8,5.2,9.6,0,0,0,20.075,-1.65,21.725,28.2,2.2,26,12.3,-4.4,16.7,47.9625,-7.44167,55.40417,71.3,-14.1,85.4,36.4,5.5,30.9,34.9,54.5,52.3,16.8,26.8,9.48785,0.93018,8.55767,17.01796,1.84213,15.17583,3.72985,1.59356,2.13629,12.4,33.6,1,8.6,0,0.07808,-0.02708,0.10517,0.227,0.098,0.129,0.063,-0.013,0.076,8.33333,-3.2,11.53333,13.1,-3,16.1,3.8,-2,5.8,18.3125,-0.91667,19.22917,24.1,3.3,20.8,13.7,-2.9,16.6
1904,2019-07-26,2019,Alberta,08,Burkard,NA,Plate 13,207,T08-207,34.20,0.33,40.38,1.616790486,24,21.74,0.1,No,2.509323516,3.9625,2.80833,1.15417,12.8,-2,14.8,0,0,0,20.1,0.025,20.075,30.4,2.2,28.2,9.2,-3.1,12.3,64.5375,16.575,47.9625,90.9,19.6,71.3,36.7,0.3,36.4,54.2,34.9,54.5,18.4,30.8,7.99533,-1.49252,9.48785,19.22346,2.2055,17.01796,0.75457,-2.97528,3.72985,0.2,12.4,1,0.2,0,0.17613,0.09804,0.07808,0.223,-0.004,0.227,0.122,0.059,0.063,12.33333,4,8.33333,16.7,3.6,13.1,7.3,3.5,3.8,17.7875,-0.525,18.3125,22.8,-1.3,24.1,13.1,-0.6,13.7
1904,2019-07-27,2019,Alberta,08,Burkard,NA,Plate 13,208,T08-208,40.00,0,0,0,24,22.16,0.14,No,1.616790486,0.475,-3.4875,3.9625,2.1,-10.7,12.8,0,0,0,20.72083,0.62083,20.1,31.2,0.8,30.4,11.8,2.6,9.2,57.2125,-7.325,64.5375,83.4,-7.5,90.9,28.1,-8.6,36.7,55.3,54.2,34.9,19.9,25.3,9.63077,1.63544,7.99533,23.10775,3.88429,19.22346,1.74487,0.9903,0.75457,1.9,0.2,1,1,0,0.095,-0.08113,0.17613,0.122,-0.101,0.223,0.072,-0.05,0.122,10.725,-1.60833,12.33333,13.4,-3.3,16.7,7.4,0.1,7.3,18.12917,0.34167,17.7875,23.4,0.6,22.8,13.6,0.5,13.1
1904,2019-07-28,2019,Alberta,08,Burkard,NA,Plate 13,209,T08-209,33.78,0.2,52.31,1.726808683,24,21.72,0.05,No,0,6.1,5.625,0.475,14.8,12.7,2.1,0,0,0,16.9625,-3.75833,20.72083,24.9,-6.3,31.2,8.7,-3.1,11.8,72.29583,15.08333,57.2125,93.4,10,83.4,52.2,24.1,28.1,41.2,55.3,54.2,15.2,26.3,4.64544,-4.98533,9.63077,10.42648,-12.68127,23.10775,0.59352,-1.15134,1.74487,22.3,1.9,1,11.6,0,0.22983,0.13483,0.095,0.366,0.244,0.122,0.072,0,0.072,11.50417,0.77917,10.725,14.9,1.5,13.4,7.6,0.2,7.4,16.31667,-1.8125,18.12917,19.7,-3.7,23.4,12.7,-0.9,13.6
1904,2019-07-29,2019,Alberta,08,Burkard,NA,Plate 17,210,T08-210,32.54,0.2,98.2,1.996511672,24,25.88,0.1,No,1.726808683,0.01667,-6.08333,6.1,0.1,-14.7,14.8,0,0,0,18.87083,1.90833,16.9625,28.7,3.8,24.9,7.6,-1.1,8.7,68.89167,-3.40417,72.29583,93.6,0.2,93.4,46.7,-5.5,52.2,46.9,41.2,55.3,12.9,20.6,6.62079,1.97535,4.64544,14.50514,4.07866,10.42648,0.57554,-0.01799,0.59352,0,22.3,0,0,0,0.18858,-0.04125,0.22983,0.218,-0.148,0.366,0.149,0.077,0.072,12.32917,0.825,11.50417,17.2,2.3,14.9,6.4,-1.2,7.6,17.3875,1.07083,16.31667,22.9,3.2,19.7,12.7,0,12.7
1904,2019-07-30,2019,Alberta,08,Burkard,NA,Plate 17,211,T08-211,31.88,0.11,151.23,2.182500247,24,27.18,0.07,No,1.996511672,0,-0.01667,0.01667,0,-0.1,0.1,0,0,0,19.5625,0.69167,18.87083,30.4,1.7,28.7,9,1.4,7.6,66.09583,-2.79583,68.89167,94,0.4,93.6,32.2,-14.5,46.7,61.8,46.9,41.2,15.7,23.3,7.6095,0.98872,6.62079,20.28637,5.78123,14.50514,0.57522,-3.1e-4,0.57554,0,0,0,0,0,0.12304,-0.06554,0.18858,0.146,-0.072,0.218,0.086,-0.063,0.149,11.96667,-0.3625,12.32917,17.7,0.5,17.2,7.5,1.1,6.4,17.5125,0.125,17.3875,22.2,-0.7,22.9,12.9,0.2,12.7
1904,2019-07-31,2019,Alberta,08,Burkard,NA,Plate 17,212,T08-212,29.32,0.07,824.07,2.916490796,24,25.84,0.06,No,2.182500247,0,0,0,0,0,0,0,0,0,20.31667,0.75417,19.5625,31,0.6,30.4,11.5,2.5,9,73.01667,6.92083,66.09583,92.6,-1.4,94,40.7,8.5,32.2,51.9,61.8,46.9,13.7,22.3,5.9605,-1.64901,7.6095,19.16844,-1.11792,20.28637,0.72746,0.15224,0.57522,0,0,0,0,0,0.0785,-0.04454,0.12304,0.086,-0.06,0.146,0.069,-0.017,0.086,14.7875,2.82083,11.96667,20.7,3,17.7,10.3,2.8,7.5,18.79167,1.27917,17.5125,24.6,2.4,22.2,14.2,1.3,12.9
1904,2019-08-01,2019,Alberta,08,Burkard,NA,Plate 17,213,T08-213,31.18,0.2,241.43,2.384586361,24,22.81,0.03,No,2.916490796,0,0,0,0,0,0,0,0,0,21.10417,0.7875,20.31667,32.7,1.7,31,11,-0.5,11.5,69.4625,-3.55417,73.01667,85.3,-7.3,92.6,46.5,5.8,40.7,38.8,51.9,61.8,16.8,18.4,7.20016,1.23967,5.9605,19.22929,0.06085,19.16844,1.36384,0.63637,0.72746,0,0,0,0,0,0.06471,-0.01379,0.0785,0.069,-0.017,0.086,0.06,-0.009,0.069,14.87083,0.08333,14.7875,21.9,1.2,20.7,8.6,-1.7,10.3,19.54167,0.75,18.79167,26.1,1.5,24.6,14.3,0.1,14.2
1904,2019-08-02,2019,Alberta,08,Burkard,NA,Plate 17,214,T08-214,32.23,0.03,119.93,2.082534053,24,22.54,0.05,No,2.384586361,0,0,0,0,0,0,0,0,0,23.25833,2.15417,21.10417,36,3.3,32.7,12.3,1.3,11,55.58333,-13.87917,69.4625,83.9,-1.4,85.3,31.1,-15.4,46.5,52.8,38.8,51.9,14.5,26.8,11.99497,4.7948,7.20016,30.16299,10.9337,19.22929,1.80129,0.43746,1.36384,0,0,0,0,0,0.05321,-0.0115,0.06471,0.058,-0.011,0.069,0.046,-0.014,0.06,12.7,-2.17083,14.87083,17.4,-4.5,21.9,8.2,-0.4,8.6,20.5875,1.04583,19.54167,28.3,2.2,26.1,14.7,0.4,14.3
1904,2019-08-03,2019,Alberta,08,Burkard,NA,Plate 17,215,T08-215,32.70,0.05,88.04,1.949585151,24,22.6,0.07,No,2.082534053,3.29583,3.29583,0,14.9,14.9,0,0,0,0,21.0375,-2.22083,23.25833,27.9,-8.1,36,13.2,0.9,12.3,58.09167,2.50833,55.58333,80.5,-3.4,83.9,28.4,-2.7,31.1,52.1,52.8,38.8,18.3,31.9,8.32854,-3.66643,11.99497,18.95446,-11.20854,30.16299,2.07544,0.27414,1.80129,31.7,0,1,11.6,0,0.20054,0.14733,0.05321,0.331,0.273,0.058,0.045,-0.001,0.046,11.64167,-1.05833,12.7,19,1.6,17.4,7.4,-0.8,8.2,18.54583,-2.04167,20.5875,21.5,-6.8,28.3,15.6,0.9,14.7
1904,2019-08-04,2019,Alberta,08,Burkard,NA,Plate 17,216,T08-216,37.35,0.59,4.24,0.719331287,24,22.49,0.06,No,1.949585151,0,-3.29583,3.29583,0,-14.9,14.9,0,0,0,18.66667,-2.37083,21.0375,28.8,0.9,27.9,11.1,-2.1,13.2,67.725,9.63333,58.09167,89.1,8.6,80.5,44.4,16,28.4,44.7,52.1,52.8,14.5,22.3,6.12892,-2.19962,8.32854,15.6667,-3.28776,18.95446,1.01761,-1.05783,2.07544,0,31.7,0,0,0,0.19942,-0.00112,0.20054,0.231,-0.1,0.331,0.166,0.121,0.045,12.02083,0.37917,11.64167,15.5,-3.5,19,9.2,1.8,7.4,17.97917,-0.56667,18.54583,23,1.5,21.5,14.2,-1.4,15.6
1904,2019-08-05,2019,Alberta,08,Burkard,NA,Plate 17,217,T08-217,33.17,0.15,64.56,1.816638945,24,22.46,0.05,No,0.719331287,0,0,0,0,0,0,0,0,0,19.67917,1.0125,18.66667,30.1,1.3,28.8,9,-2.1,11.1,63.70833,-4.01667,67.725,89.9,0.8,89.1,34.6,-9.8,44.4,55.3,44.7,52.1,13.4,22.7,8.05015,1.92123,6.12892,19.55772,3.89102,15.6667,0.84273,-0.17488,1.01761,0,0,0,0,0,0.13463,-0.06479,0.19942,0.166,-0.065,0.231,0.089,-0.077,0.166,11.67083,-0.35,12.02083,16.8,1.3,15.5,7,-2.2,9.2,17.60833,-0.37083,17.97917,23.2,0.2,23,12.8,-1.4,14.2
1904,2019-08-06,2019,Alberta,08,Burkard,NA,Plate 22,218,T08-218,32.08,0.36,116.18,2.068853494,24,27.18,0.07,No,1.816638945,2.19583,2.19583,0,14.3,14.3,0,0,0,0,18.65417,-1.025,19.67917,26.3,-3.8,30.1,12.3,3.3,9,74.8375,11.12917,63.70833,91.4,1.5,89.9,56.8,22.2,34.6,34.6,55.3,44.7,16.5,29.6,4.43677,-3.61338,8.05015,9.54288,-10.01484,19.55772,0.96821,0.12547,0.84273,3.5,0,1,3.3,0,0.07675,-0.05788,0.13463,0.089,-0.077,0.166,0.066,-0.023,0.089,13.89167,2.22083,11.67083,18.7,1.9,16.8,9,2,7,18.025,0.41667,17.60833,23.6,0.4,23.2,14.5,1.7,12.8
